Bus ID,Time ID,Location,Arrive,Depart,stop time,travel time,Special circumstance?
S11,3,Stun E,13:53:07,13:53:43,0:00:36,0:01:30,
S11,3,Aux,13:54:18,13:54:25,0:00:07,0:00:35,
S11,3,Stu Health,13:55:35,13:55:35,0:00:00,0:01:10,
S11,3,Martin,13:56:10,13:57:34,0:01:24,0:00:35,
S11,3,Lot 6,13:58:09,13:58:31,0:00:22,0:00:35,
S11,3,Lot 5A,13:59:12,13:59:40,0:00:28,0:00:41,
S11,3,East Deck,14:00:01,14:00:22,0:00:21,0:00:21,
S11,3,Fret N,14:02:00,14:02:14,0:00:14,0:01:38,
S11,3,Klien,14:02:43,14:02:56,0:00:13,0:00:29,
S11,3,Stun W,14:03:52,14:09:43,0:05:51,0:00:56,
S11,3,Athletics W,14:12:09,14:12:09,0:00:00,0:02:26,
S11,3,EPIC N,14:12:44,14:13:12,0:00:28,0:00:35,
S11,3,Grigg,14:13:45,14:13:54,0:00:09,0:00:33,
S11,3,BATT,14:14:36,14:14:58,0:00:22,0:00:42,
S11,,AVG,,,0:00:46,0:00:58,
,,,,,,,
S12,3,Lot 6,13:00:45,13:01:07,0:00:22,,
S12,3,Lot 5A,13:01:41,13:02:31,0:00:50,0:00:34,
S12,3,East Deck,13:02:58,13:03:13,0:00:15,0:00:27,
S12,3,Fret N,13:04:29,13:05:39,0:01:10,0:01:16,
S12,3,Klien,13:06:21,13:06:56,0:00:35,0:00:42,
S12,3,Stun W,13:07:31,13:08:34,0:01:03,0:00:35,
S12,3,Athletics W,13:09:59,13:09:59,0:00:00,0:01:25,
S12,3,EPIC N,13:10:33,13:11:01,0:00:28,0:00:34,
S12,3,Grigg,13:11:36,13:11:58,0:00:22,0:00:35,
S12,3,BATT,13:12:46,13:13:00,0:00:14,0:00:48,
S12,3,Portal W,13:13:49,13:13:49,0:00:00,0:00:49,
S12,3,CRI,13:14:38,13:22:27,0:07:49,0:00:49,
S12,3,Duke,13:23:44,13:24:06,0:00:22,0:01:17,
S12,3,EPIC S,13:25:29,13:26:25,0:00:56,0:01:23,
S12,3,Athletics E,13:27:10,13:27:10,0:00:00,0:00:45,
S12,3,Stun E,13:29:13,13:30:03,0:00:50,0:02:03,
S12,3,Aux,13:30:37,13:31:14,0:00:37,0:00:34,
S12,3,Stu Health,13:32:15,13:32:34,0:00:19,0:01:01,
S12,3,Martin,13:33:11,13:34:49,0:01:38,0:00:37,
S12,3,Lot 6,13:35:38,13:36:13,0:00:35,0:00:49,
S12,3,Lot 5A,13:36:48,13:37:16,0:00:28,0:00:35,
S12,3,East Deck,13:37:44,13:37:58,0:00:14,0:00:28,
S12,3,Fret N,13:39:08,13:39:28,0:00:20,0:01:10,
S12,3,Klien,13:39:50,13:40:11,0:00:21,0:00:22,
S12,3,Stun W,13:40:39,13:44:16,0:03:37,0:00:28,
S12,3,Athletics W,13:45:31,13:45:31,0:00:00,0:01:15,
S12,3,EPIC N,13:46:01,13:46:16,0:00:15,0:00:30,
S12,3,Grigg,13:46:50,13:46:57,0:00:07,0:00:34,
S12,3,BATT,13:47:39,13:47:53,0:00:14,0:00:42,
S12,3,Portal W,13:49:10,13:49:18,0:00:08,0:01:17,
S12,3,CRI,13:50:20,13:54:39,0:04:19,0:01:02,
S12,3,Duke,13:56:13,13:56:47,0:00:34,0:01:34,
S12,3,EPIC S,13:58:21,13:59:11,0:00:50,0:01:34,
S12,3,Athletics E,14:00:06,14:00:08,0:00:02,0:00:55,
S12,3,Stun E,14:01:58,14:03:36,0:01:38,0:01:50,
S12,3,Aux,14:04:22,14:04:54,0:00:32,0:00:46,
S12,3,Stu Health,14:06:03,14:06:16,0:00:13,0:01:09,
S12,3,Martin,14:07:20,14:09:18,0:01:58,0:01:04,
S12,3,Lot 6,14:09:56,14:10:19,0:00:23,0:00:38,
S12,3,Lot 5A,14:10:59,14:11:21,0:00:22,0:00:40,
S12,3,East Deck,14:11:41,14:11:55,0:00:14,0:00:20,
S12,3,Fret N,14:12:58,14:13:13,0:00:15,0:01:03,
S12,3,Klien,14:13:39,14:13:56,0:00:17,0:00:26,
S12,3,Stun W,14:14:28,,,0:00:32,
S12,,AVG,,,0:00:50,0:00:53,
